# Created by CSS Data Browser Version 4.2.4.201908232322
# 
# Start Time : 2020-06-30 00:00:00.000
# End Time   : 2020-07-13 00:00:00.000
# Source     : Linear interp.
# Interpolation Interval: 00:01:00
# Format     : Decimal (2 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: PXD:P1012:hv:CURR:cur
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 
# Channel: SKB2:BMLDCCT:CURRENT
# Archives:
# 1) Belle2
#    URL: pbraw://b2arch1.daqnet.kek.jp:17668/retrieval/
#    Key: 3
# 2) DHH
#    URL: pbraw://pxddhh.daqnet.kek.jp:17668/retrieval/
#    Key: 5
# 
# Channel: SKB2:BMHDCCT:CURRENT
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 2) Belle2
#    URL: pbraw://b2arch1.daqnet.kek.jp:17668/retrieval/
#    Key: 3
# 3) DHH
#    URL: pbraw://pxddhh.daqnet.kek.jp:17668/retrieval/
#    Key: 5
# 
# Channel: PXD:P1012:hv-load:VOLT:cur
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 

# Time	PXD:P1012:hv:CURR:cur Value	SKB2:BMLDCCT:CURRENT Value	SKB2:BMHDCCT:CURRENT Value	PXD:P1012:hv-load:VOLT:cur Value
2020-06-30 00:21:00.000000000	-1,059.77	566.50	538.54	-59,882.40
2020-06-30 00:21:00.000000000	-1,059.77	566.50	538.58	-59,882.40
2020-06-30 00:21:00.000000000	-1,059.77	566.50	538.58	-59,882.40
2020-06-30 00:22:00.000000000	-1,059.76	568.81	539.29	-59,885.16
2020-06-30 00:22:00.000000000	-1,059.76	568.81	539.27	-59,885.16
2020-06-30 00:22:00.000000000	-1,059.76	568.81	539.27	-59,885.16
2020-06-30 00:23:00.000000000	-1,063.32	563.50	538.74	-59,885.47
2020-06-30 00:23:00.000000000	-1,063.32	563.50	538.74	-59,885.47
2020-06-30 00:23:00.000000000	-1,063.32	563.50	538.74	-59,885.47
2020-06-30 00:24:00.000000000	-1,063.00	566.63	539.68	-59,855.74
2020-06-30 00:24:00.000000000	-1,063.00	566.63	539.68	-59,855.74
2020-06-30 00:24:00.000000000	-1,063.00	566.63	539.68	-59,855.74
2020-06-30 00:25:00.000000000	-1,061.06	570.19	538.47	-59,847.56
2020-06-30 00:25:00.000000000	-1,061.06	570.19	538.47	-59,847.56
2020-06-30 00:25:00.000000000	-1,061.06	570.19	538.47	-59,847.56
2020-06-30 00:26:00.000000000	-13.36	552.18	-0.04	-239.05
2020-06-30 00:26:00.000000000	-13.36	552.18	-0.04	-239.05
2020-06-30 00:26:00.000000000	-13.36	552.18	-0.04	-239.05
2020-06-30 00:27:00.000000000	-15.00	496.23	-0.04	-191.12
2020-06-30 00:27:00.000000000	-15.00	496.23	-0.04	-191.12
2020-06-30 00:27:00.000000000	-15.00	496.23	-0.04	-191.12
2020-06-30 00:28:00.000000000	-14.49	441.42	-0.04	-221.48
2020-06-30 00:28:00.000000000	-14.49	441.42	-0.05	-221.48
2020-06-30 00:28:00.000000000	-14.49	441.42	-0.05	-221.48
2020-06-30 00:29:00.000000000	-15.00	396.30	-0.04	-191.00
2020-06-30 00:29:00.000000000	-15.00	396.30	-0.04	-191.00
2020-06-30 00:29:00.000000000	-15.00	396.30	-0.04	-191.00
2020-06-30 00:30:00.000000000	-14.08	359.06	0.74	-204.36
2020-06-30 00:30:00.000000000	-14.08	359.06	0.74	-204.36
2020-06-30 00:30:00.000000000	-14.08	359.06	0.74	-204.36
2020-06-30 00:31:00.000000000	-15.00	327.83	11.23	-191.00
2020-06-30 00:31:00.000000000	-15.00	327.83	11.24	-191.00
2020-06-30 00:31:00.000000000	-15.00	327.83	11.24	-191.00
2020-06-30 00:32:00.000000000	-14.78	301.68	30.98	-233.79
2020-06-30 00:32:00.000000000	-14.78	301.68	30.98	-233.79
2020-06-30 00:32:00.000000000	-14.78	301.68	30.98	-233.79
2020-06-30 00:33:00.000000000	-15.00	289.60	54.31	-196.76
2020-06-30 00:33:00.000000000	-15.00	289.60	54.37	-196.76
2020-06-30 00:33:00.000000000	-15.00	289.60	54.37	-196.76
2020-06-30 00:34:00.000000000	-14.53	300.73	90.33	-231.79
2020-06-30 00:34:00.000000000	-14.53	300.73	90.35	-231.79
2020-06-30 00:34:00.000000000	-14.53	300.73	90.35	-231.79
2020-06-30 00:35:00.000000000	-15.00	297.78	128.44	-200.44
2020-06-30 00:35:00.000000000	-15.00	297.78	128.48	-200.44
2020-06-30 00:35:00.000000000	-15.00	297.78	128.48	-200.44
2020-06-30 00:36:00.000000000	-14.70	297.69	169.76	-191.00
2020-06-30 00:36:00.000000000	-14.70	297.69	169.76	-191.00
2020-06-30 00:36:00.000000000	-14.70	297.69	169.76	-191.00
2020-06-30 00:37:00.000000000	-15.00	299.06	212.60	-191.00
2020-06-30 00:37:00.000000000	-15.00	299.06	212.60	-191.00
2020-06-30 00:37:00.000000000	-15.00	299.06	212.60	-191.00
2020-06-30 00:38:00.000000000	-15.00	300.20	252.87	-191.00
2020-06-30 00:38:00.000000000	-15.00	300.20	252.87	-191.00
2020-06-30 00:38:00.000000000	-15.00	300.20	252.87	-191.00
2020-06-30 00:39:00.000000000	-14.97	298.12	289.62	-230.66
2020-06-30 00:39:00.000000000	-14.97	298.12	289.65	-230.66
2020-06-30 00:39:00.000000000	-14.97	298.12	289.65	-230.66
2020-06-30 00:40:00.000000000	-15.00	290.56	300.37	-246.53
2020-06-30 00:40:00.000000000	-15.00	290.56	300.37	-246.53
2020-06-30 00:40:00.000000000	-15.00	290.56	300.37	-246.53
2020-06-30 00:41:00.000000000	-13.30	307.15	323.87	-247.00
2020-06-30 00:41:00.000000000	-13.30	307.15	323.88	-247.00
2020-06-30 00:41:00.000000000	-13.30	307.15	323.88	-247.00
2020-06-30 00:42:00.000000000	-14.53	364.57	360.44	-217.76
2020-06-30 00:42:00.000000000	-14.53	364.57	360.47	-217.76
2020-06-30 00:42:00.000000000	-14.53	364.57	360.47	-217.76
2020-06-30 00:43:00.000000000	-14.00	417.04	395.34	-209.79
2020-06-30 00:43:00.000000000	-14.00	417.04	395.34	-209.79
2020-06-30 00:43:00.000000000	-14.00	417.04	395.34	-209.79
2020-06-30 00:44:00.000000000	-14.78	464.09	427.44	-234.12
2020-06-30 00:44:00.000000000	-14.78	464.09	427.44	-234.12
2020-06-30 00:44:00.000000000	-14.78	464.09	427.44	-234.12
2020-06-30 00:45:00.000000000	-14.03	461.05	434.90	-218.43
2020-06-30 00:45:00.000000000	-14.03	461.05	434.90	-218.43
2020-06-30 00:45:00.000000000	-14.03	461.05	434.90	-218.43
2020-06-30 00:46:00.000000000	-1,061.00	429.05	423.16	-59,898.00
2020-06-30 00:46:00.000000000	-1,061.00	429.05	423.16	-59,898.00
2020-06-30 00:46:00.000000000	-1,061.00	429.05	423.16	-59,898.00
2020-06-30 00:47:00.000000000	-1,063.00	471.66	450.10	-59,895.99
2020-06-30 00:47:00.000000000	-1,063.00	471.66	450.11	-59,895.99
2020-06-30 00:47:00.000000000	-1,063.00	471.66	450.11	-59,895.99
2020-06-30 00:48:00.000000000	-1,061.41	509.90	479.02	-59,877.69
2020-06-30 00:48:00.000000000	-1,061.41	509.90	479.02	-59,877.69
2020-06-30 00:48:00.000000000	-1,061.41	509.90	479.02	-59,877.69
2020-06-30 00:49:00.000000000	-1,065.52	543.96	499.37	-59,893.02
2020-06-30 00:49:00.000000000	-1,065.52	543.96	499.34	-59,893.02
2020-06-30 00:49:00.000000000	-1,065.52	543.96	499.34	-59,893.02
2020-06-30 00:50:00.000000000	-1,062.51	568.53	520.67	-59,852.77
2020-06-30 00:50:00.000000000	-1,062.51	568.53	520.67	-59,852.77
2020-06-30 00:50:00.000000000	-1,062.51	568.53	520.67	-59,852.77
2020-06-30 00:51:00.000000000	-1,062.50	563.59	538.24	-59,888.09
2020-06-30 00:51:00.000000000	-1,062.50	563.59	538.24	-59,888.09
2020-06-30 00:51:00.000000000	-1,062.50	563.59	538.24	-59,888.09
2020-06-30 00:52:00.000000000	-1,060.01	566.32	537.92	-59,855.98
2020-06-30 00:52:00.000000000	-1,060.01	566.32	537.92	-59,855.98
2020-06-30 00:52:00.000000000	-1,060.01	566.32	537.92	-59,855.98
2020-06-30 00:53:00.000000000	-1,061.27	569.94	538.16	-59,884.83
2020-06-30 00:53:00.000000000	-1,061.27	569.94	538.16	-59,884.83
2020-06-30 00:53:00.000000000	-1,061.27	569.94	538.16	-59,884.83
2020-06-30 00:54:00.000000000	-1,061.54	564.52	539.32	-59,860.08
2020-06-30 00:54:00.000000000	-1,061.54	564.52	539.32	-59,860.08
2020-06-30 00:54:00.000000000	-1,061.54	564.52	539.32	-59,860.08
2020-06-30 00:55:00.000000000	-1,064.06	567.57	538.20	-59,870.00
2020-06-30 00:55:00.000000000	-1,064.06	567.57	538.19	-59,870.00
2020-06-30 00:55:00.000000000	-1,064.06	567.57	538.19	-59,870.00
2020-06-30 00:56:00.000000000	-1,063.44	568.07	538.54	-59,897.67
2020-06-30 00:56:00.000000000	-1,063.44	568.07	538.53	-59,897.67
2020-06-30 00:56:00.000000000	-1,063.44	568.07	538.53	-59,897.67
2020-06-30 00:57:00.000000000	-1,061.05	563.96	539.76	-59,924.63
2020-06-30 00:57:00.000000000	-1,061.05	563.96	539.74	-59,924.63
2020-06-30 00:57:00.000000000	-1,061.05	563.96	539.74	-59,924.63
2020-06-30 00:58:00.000000000	-1,059.05	566.88	538.69	-59,897.52
2020-06-30 00:58:00.000000000	-1,059.05	566.88	538.69	-59,897.52
2020-06-30 00:58:00.000000000	-1,059.05	566.88	538.69	-59,897.52
2020-06-30 00:59:00.000000000	-1,062.00	570.13	538.08	-59,869.30
2020-06-30 00:59:00.000000000	-1,062.00	570.13	538.08	-59,869.30
2020-06-30 00:59:00.000000000	-1,062.00	570.13	538.08	-59,869.30
2020-06-30 01:00:00.000000000	-1,061.30	564.76	538.04	-59,859.20
2020-06-30 01:00:00.000000000	-1,061.30	564.76	538.06	-59,859.20
